cell_type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
CD4 T	-2.915751	-0.288833	-0.100382	-2.294333	-1.020821	0.360156	0.281539	0.710536	0.937144	-3.142929	-1.273485	0.170861	-0.264590	-0.130751	0.139595	0.622207	-0.525370	0.161335	-0.122238	-0.034378	0.711254	1.451368	-0.689713	-0.778121	1.809145	-0.433074	1.080005	0.092490	-1.052191	0.223863	-0.284212	-1.804603	1.304713	-0.823105	0.186862	-0.755303	-0.342936	1.688699	-1.304660	-0.377094	-0.186214	0.568456	-0.392775	0.442718	3.135881	0.679774	0.809431	-0.399103	0.753418	0.573426
CD14 Monocytes	-2.094025	-7.229724	-1.430654	7.812997	0.137256	-0.507482	1.035980	0.206854	0.005007	0.749382	-0.303492	-0.977214	0.100086	-0.275050	-1.012838	0.392198	0.117987	1.703737	2.037697	-3.243602	0.848283	-0.224501	-1.072367	0.898354	0.314478	-0.607431	-1.082842	-0.267551	-1.591552	-1.029335	-0.987529	0.948978	2.047285	2.017522	-1.259746	-3.893107	-2.338386	-0.926913	-2.543988	0.857932	-0.619039	0.853629	-2.962019	-2.215847	0.238594	0.258341	-0.029877	0.886392	-2.093869	-2.676307
CD14 Monocytes	-3.845515	-7.860168	-1.639727	4.767893	2.373389	0.606780	-0.330889	-0.123293	0.320034	2.702607	0.311798	-1.102242	-2.011424	-1.394542	0.947274	0.624561	-3.590134	0.948685	0.545667	-1.314494	-1.137112	1.294403	-1.016335	-1.780675	0.322325	1.436206	-0.069285	0.519242	1.125004	0.814277	-1.084666	0.994109	0.240968	-0.325297	-0.091279	3.640101	-0.723774	-1.890288	0.777652	0.096121	-0.334570	-0.671295	0.553509	0.752856	1.176614	-1.088411	-0.173266	-0.213394	-1.614712	-0.265483
CD4 T	-4.643666	-2.674523	0.396740	-2.373565	1.796808	0.383501	-0.595142	1.171461	-0.346121	-0.552659	0.792386	0.745559	0.040137	0.576114	-2.491382	-2.036344	2.885949	1.513007	0.712495	2.263001	2.232543	-0.160897	-1.832444	-1.706209	-2.932134	1.383653	-1.705007	0.563561	-0.542426	1.765646	-0.245224	2.264625	0.664338	-0.196239	0.143292	-2.516767	-1.730822	0.119977	-1.061922	0.545185	-1.528347	-0.835834	0.918749	1.370900	-1.607364	1.372416	-1.045822	-0.850272	-0.413996	-0.342509
CD4 T	-4.002554	-2.596779	0.225927	-4.021288	3.044942	0.424243	-1.501151	0.639909	-0.962573	-0.019513	2.360057	1.168021	-1.337818	1.103811	-0.009068	0.141326	-0.878939	1.112147	-1.518402	1.851823	0.391832	1.914806	-0.489970	0.426570	0.027108	-2.057608	-0.605604	-1.056958	-0.343045	-1.369939	0.561564	0.791551	0.485614	0.672726	-0.569443	-0.609516	-0.458669	-1.541485	-0.029451	1.093490	0.080779	1.379561	1.639339	-0.921095	-1.449756	-0.910473	0.856245	-0.736091	1.041398	1.324460
CD4 T	-2.445588	-1.828315	0.447270	-2.902579	1.139278	0.461692	0.181054	-1.089326	0.712141	-0.172210	-2.146270	0.555341	1.015055	-0.123079	-0.740831	0.132810	0.032849	0.219992	-0.162480	-0.630376	-0.008433	0.206193	0.401189	-0.181397	-1.855873	-0.534572	-0.488885	-0.861922	0.267223	0.691263	0.137063	1.410050	0.646889	0.306677	0.662294	0.708097	-0.987424	-0.305374	-0.029487	-1.102138	-0.418437	0.149147	1.601381	-1.409738	1.505038	-1.578808	-0.679428	0.478706	-0.068019	1.018028
CD4 T	-3.627796	-0.660448	1.292531	-2.517723	-0.363173	-0.133648	0.361263	2.291337	-0.695408	-0.557558	1.216577	-1.730231	-1.220198	-0.491594	0.675963	-0.109629	0.104273	-2.542768	-0.326473	-0.022614	0.029220	2.571868	-0.365864	0.364926	-1.939521	-1.543395	1.561312	0.211522	-2.230842	-0.468883	-1.386547	2.812932	0.139738	-0.320306	-1.452815	1.729232	1.455424	-0.525550	-0.810121	1.501758	1.075163	-0.197989	1.081303	-1.608203	0.655528	-0.613384	-0.239109	-0.063813	0.570429	-0.875091
CD4 T	-4.292867	3.106470	0.249360	-1.663010	-0.436467	-1.236615	0.487207	0.730647	0.520544	-1.230898	-1.393427	0.118544	0.568252	-0.440560	1.719197	-1.507243	-0.781265	-1.900842	-2.356543	0.048956	-4.438643	-0.175038	-1.860850	-1.626095	1.152886	1.410967	-0.964688	-0.268687	0.412411	-0.953887	0.344987	0.180971	2.097438	-0.514030	0.706976	0.128207	1.694305	-2.295090	0.997791	1.444253	0.973339	-0.213363	1.456986	-0.631759	0.492445	0.519962	-0.610768	1.816321	-0.238223	-0.350402
CD8 T	-2.979487	2.799026	0.171447	0.856456	-1.560916	-2.768585	3.671637	0.140151	-1.923139	0.793965	-0.469090	-3.846000	-0.772011	0.130885	1.241480	-5.277349	-1.565116	0.482503	-0.845542	-1.058599	-1.869903	-4.142945	-1.221372	0.465837	1.042013	0.583491	-0.102159	-0.745575	-4.022502	-1.049060	3.103247	-3.562665	-0.168714	3.236515	-2.056690	-1.142872	0.709415	-2.039364	1.657215	2.540506	0.963589	0.696973	-0.076047	-1.493262	-0.130721	-6.354367	-0.394618	3.271915	2.908092	1.367564
CD8 T	-3.850485	12.098632	-0.195970	4.427671	2.243604	0.340151	-1.556688	-2.384766	-2.626548	0.167918	-0.449986	-1.319379	2.192646	0.228717	-2.697242	-1.717594	-0.756275	1.864443	-1.933209	-1.494373	1.114165	-1.377768	-1.989288	-0.101230	-0.325668	1.339373	-0.580257	-3.580299	-0.764305	-0.376786	1.498565	1.502494	-0.487737	1.853228	3.843886	-0.445632	1.869925	1.845865	-1.418948	-1.377461	1.430867	-0.658800	2.132613	0.156169	2.095717	0.814124	0.167867	0.631709	0.459251	0.193459
CD4 T	-4.112447	-2.964342	0.636534	-2.990458	2.536363	1.949284	-1.053165	0.059467	0.025490	0.626656	0.645356	-1.352444	0.619291	-0.613584	-0.311555	-0.224978	-1.158130	0.624143	1.219621	-1.176090	1.986666	-0.221943	1.954848	0.617352	0.449014	0.338494	-1.443404	-0.733698	1.314004	0.724221	0.245808	2.220454	-1.137942	0.359574	1.336530	-0.324076	0.054816	-0.693289	-2.306206	-0.340171	-0.450725	-2.279110	-0.611592	1.119750	-0.835927	-1.004384	0.876353	1.232562	-0.529397	-1.311631
CD4 T	-3.864672	-0.733103	-0.513199	-1.957543	-2.516115	0.518225	-2.199491	-1.080100	0.112381	-2.307731	-0.064126	0.570166	0.858314	-0.298910	-0.552228	0.284538	0.633593	-0.745909	2.840657	1.787740	-4.107541	-0.287913	0.582958	-0.926941	0.317376	-1.026985	0.985436	0.072219	-0.866817	-1.039789	0.840953	-2.027427	2.079462	1.628266	1.158851	-2.546702	1.635968	-1.743080	0.012057	-0.424810	0.660291	1.235605	1.381713	-1.631464	0.282500	0.309631	2.131574	1.140044	-0.678918	0.913715
CD4 T	-2.973243	-0.394849	0.047516	-2.599503	0.201018	1.321261	0.210751	1.564806	-0.981844	0.775170	0.198557	-1.135944	0.078948	-0.051305	-0.069301	-3.788459	1.018154	-1.296075	-2.413037	-0.991386	-1.212362	0.688785	2.333397	-0.945634	-3.515688	0.730120	1.395296	-2.925393	-0.451998	0.250064	0.592342	1.820274	1.189264	0.447663	1.626654	-2.082186	-1.704668	-1.183601	-0.030324	-0.314316	-1.834447	3.071503	-0.264078	0.514933	1.230906	-0.319460	-1.060091	1.129587	2.253322	-1.256850
CD8 T	-4.434506	2.371252	1.792570	-0.568748	-1.737224	-3.998010	4.498494	-3.115433	3.012190	-0.233470	-3.967356	-1.509817	1.857813	2.140241	-1.676091	-1.719432	2.905820	-2.135914	1.092917	1.262319	0.534027	-2.505264	3.202883	0.484616	-2.084098	2.370813	0.531464	4.340431	-0.074822	0.130716	2.914762	1.665057	-1.762737	-0.152412	-2.150884	1.595321	3.893662	2.207964	-1.997257	-1.597608	-1.208380	1.817602	3.592654	2.969932	-3.049221	-0.919004	-2.286863	-0.867315	-2.492157	-0.751932
CD4 T	-3.630554	-0.713105	0.283345	-2.792366	-2.299380	-0.270260	0.178819	-0.228397	-1.053909	-0.646783	1.134594	-0.413330	-0.425806	1.610803	-0.302937	0.230634	0.240622	1.520311	-1.709134	-3.181337	0.677874	1.292044	-0.679457	-0.311748	-1.566270	-0.792175	1.446646	0.279561	0.240247	0.887378	0.011543	-0.353681	-0.296744	-0.677702	-0.055960	0.454100	0.426150	-0.315135	0.214321	-1.145062	-1.991807	-1.860270	-0.947427	-0.694886	-0.028202	0.690231	-0.823069	0.363936	0.624911	-0.242981
CD4 T	-4.593588	-1.199792	0.106675	-2.584844	1.340684	1.699955	-0.409699	1.469754	-1.178589	0.380249	1.067705	-0.561004	-0.816540	-1.507151	0.607546	-1.041391	0.885348	0.293331	-2.804463	-0.302633	-2.377054	0.096185	-0.839713	-0.420651	2.392424	0.864601	-2.104678	-0.524376	-0.637709	-0.446238	-1.057462	1.203717	-0.606664	2.638083	-0.579528	0.199496	-0.958911	0.169948	1.047656	-0.969743	0.124642	-2.198107	2.503631	-0.267036	-1.857370	0.811414	-0.396019	-0.531200	-0.184088	-0.180235
CD4 T	-2.910905	-0.859602	-0.032500	-2.043088	0.263221	1.579543	0.810862	0.578378	0.378826	-1.137243	0.868850	-1.426090	0.477305	0.412625	-0.065273	-0.238929	-1.253764	-0.286603	2.600778	0.372897	0.137453	-0.168805	2.533840	-1.885102	-0.492433	-0.509149	-1.319565	-1.230473	-2.984557	0.519029	0.616558	-2.701190	0.478558	-0.187912	-1.431109	-0.941893	1.424738	0.124744	0.766579	-0.338392	0.320244	0.667092	-0.292968	1.523687	1.129169	-1.217282	-0.582504	0.181433	-3.630743	0.109477
CD4 T	-4.249838	-1.346582	-0.320117	-1.428818	-1.876871	0.572753	-1.788774	0.623120	-0.815973	-1.383870	-0.180415	-1.481501	-0.515862	0.714785	-1.110668	0.846956	1.889956	-0.598890	2.391194	2.034836	1.406677	-2.094707	0.919360	-2.381978	0.122301	0.711024	0.020970	-0.824499	0.951653	2.656988	-0.708544	0.311259	-0.326012	-2.867438	0.851611	-1.724735	-0.562207	-1.341679	2.056714	-2.292869	0.758421	-2.652713	-2.112730	-0.113517	-2.186601	-1.139068	-1.850592	-1.072472	0.024711	1.265013
CD4 T	-4.711596	-0.351849	0.453790	-3.632529	-1.994497	-0.461888	-0.042532	-0.308089	-0.436714	0.444624	-2.581690	-0.610682	0.942917	-0.350939	-1.701707	0.980287	-0.698399	-1.250886	0.180078	-1.666250	0.388481	-0.174425	1.902259	-0.110353	0.756263	2.226303	-1.501551	0.851708	0.755028	-0.958883	-0.878935	2.011129	-1.984167	2.095507	0.646471	-0.543058	2.126403	-1.278103	-2.269828	2.848085	-0.916520	0.553403	-1.692449	0.785943	2.155149	1.448508	-1.643383	0.822122	0.392682	-0.848805
CD4 T	-3.980262	-0.640828	-0.058757	-3.106086	-0.800182	-0.150887	-1.701845	-2.371415	2.570974	2.247442	0.144870	0.327195	-0.572212	-2.262193	1.283715	-0.157931	1.173973	1.434796	1.469451	1.081181	-0.141441	1.789764	-1.295616	-3.706243	2.204346	0.272683	2.624435	-0.547309	-1.037785	0.778166	0.178438	1.856676	-1.435580	1.648180	-0.033760	0.537673	1.646335	-0.269278	0.608384	0.736725	0.575465	0.924627	0.602803	-1.536966	0.054020	-0.351319	-2.016976	1.103743	1.109990	-1.336669
CD4 T	-4.486465	0.379579	0.727005	-2.734499	-2.202935	-1.133241	-0.738438	-0.911370	-1.119981	-2.241005	-1.213923	2.339871	2.054018	-1.507319	-0.974513	0.755417	-0.824609	0.712270	2.190528	-0.463968	1.371745	-0.999897	-0.269040	-0.872083	-0.345650	1.929935	-0.318536	0.781627	-2.224765	-1.726753	-0.836701	-1.122684	0.107215	3.187002	0.452500	1.790219	-1.041834	2.048542	2.559643	-0.218398	0.660740	-1.568246	1.600764	0.685315	1.813453	-1.201715	2.208863	-0.630192	-0.860184	-0.990591
CD4 T	-3.448612	0.231967	1.905784	-0.932396	-1.576051	-0.129697	-1.472491	-0.936275	-0.376726	-0.688921	1.168284	-0.720465	1.097151	-0.718160	-0.214728	0.328175	0.298386	0.900729	0.533264	0.599930	1.372011	-0.541982	-1.812077	0.208893	-1.458006	-1.530299	1.238108	0.318874	-0.330891	1.929084	-1.741045	0.644912	1.138549	-1.181994	0.740834	-1.076392	0.687036	-0.612414	-0.444084	-0.554349	-0.263408	0.124913	-1.088667	-0.523409	0.612753	-0.492607	0.712238	-0.019983	-1.398939	0.191224
B cells	11.501846	3.631632	8.015409	4.754520	-9.601216	9.185635	0.852672	1.682709	3.187521	-2.384983	-3.798791	1.499167	-2.551115	0.262114	3.624672	-1.277387	0.783743	1.323150	-1.210466	-0.160639	0.284099	-0.416599	-2.646360	1.938502	-0.323315	-1.673029	5.017236	0.160361	1.369025	0.688162	0.808582	3.167597	-0.997948	-2.442435	-2.709393	-1.635196	-1.103078	2.570689	1.145395	-0.163851	1.502196	3.973570	1.814719	-2.589677	-1.283424	4.273367	3.839320	3.210451	0.433262	0.736711
CD4 T	-3.762875	-0.707814	0.113473	-3.279940	-1.953184	-0.301096	-1.563796	1.130073	-1.643594	-0.749486	0.050347	0.785339	1.875172	-1.190942	-1.404347	2.138729	2.189059	0.112896	0.947566	-1.398877	0.001093	-0.408603	-0.575554	-2.050447	-0.212809	-0.270717	-0.975494	-2.146778	0.029164	-1.004659	1.836115	-0.629983	0.747318	2.804691	-0.983901	-0.340992	-1.072991	-1.149786	-2.108579	1.505615	-3.717925	0.360654	-4.243948	2.935277	-1.816530	-1.520307	-1.489955	-1.612343	0.263165	-2.181280
CD4 T	-3.834872	0.344506	0.228177	-2.641966	-2.538799	-2.296825	0.381862	0.656540	-3.061966	-2.339765	-0.528033	-0.102913	-0.945350	-0.679727	0.423374	-0.951372	3.486903	0.230779	-3.448029	2.155816	-0.627190	-2.239487	0.648722	3.272015	2.436737	-0.717135	2.274834	2.491737	0.876734	-3.232468	0.923381	1.137207	-1.415337	-1.412152	-0.126020	-1.343084	0.049035	2.279725	-2.073112	-0.568308	-1.994512	-0.890511	-0.655447	1.070948	-0.312311	0.021999	1.795034	-2.636987	0.314786	3.159280
B cells	9.254280	3.368000	-1.312812	0.713901	-5.764787	6.684351	0.634532	-0.266124	0.754733	-0.946147	-0.990106	1.472445	-1.345434	1.481071	0.204836	1.021278	-0.245295	-1.036112	0.654184	-0.585543	-2.566170	0.636672	1.348850	-0.787901	0.351769	-0.229701	-0.982970	-0.959018	-2.229417	0.506781	0.734673	0.250347	0.340632	1.185145	1.236834	0.271085	1.370785	1.081995	-0.294174	0.151784	-0.040562	0.739616	1.204980	0.019187	-2.511724	-2.953594	2.433834	0.023856	0.416687	0.733637
B cells	5.946655	-1.091603	-1.212097	-1.032538	3.038020	-1.197975	-1.432406	2.017705	-0.606283	-0.331609	-0.485026	-0.439907	3.230150	-0.465504	-0.848898	2.257550	-0.044258	-0.053764	-1.241154	3.046359	-0.614931	-1.080818	0.965443	-0.495583	0.899201	-0.621469	-0.836108	-1.439213	-0.303227	0.566017	1.431842	0.684816	1.164337	0.960376	-0.444252	-0.052008	1.295018	0.730890	-1.762794	-1.363587	0.573503	-0.215838	0.108304	0.468252	0.018294	0.779258	-0.633392	0.198785	-0.564517	-0.678033
CD4 T	-5.040287	-2.196727	0.817415	-3.528254	3.948763	1.981639	-1.939574	1.715283	-2.826735	0.818502	-2.065207	-0.547134	0.119667	0.869232	0.554317	-2.067822	-0.379500	-2.197170	0.212754	2.352785	0.440245	0.152703	0.316259	-2.526202	1.622742	-0.586448	-0.392885	1.088021	2.301130	1.110917	-2.413049	-0.249279	2.901681	1.390137	-1.401157	1.836562	-1.262832	-0.181171	2.042677	2.094456	1.496631	-0.918857	-1.906072	1.719280	-3.062966	-1.364854	1.885241	-1.246956	1.475810	0.531519
CD14 Monocytes	-2.477446	-7.169509	-1.948194	7.026520	0.503041	0.621776	0.659682	-0.132743	-0.699968	0.430984	-0.410658	1.410672	0.388203	-1.175720	0.142302	1.543622	-0.057676	-2.387255	-2.128437	-2.042012	-1.574413	1.974382	0.126211	-3.471576	1.558112	-0.472706	-1.637756	0.569716	0.443308	-2.491172	-0.543330	-5.576200	-0.337577	-0.164057	-1.103659	-0.599623	0.119501	4.193065	-1.988639	-0.602964	-2.890237	-1.664928	-0.979851	2.065258	1.697607	2.400218	-1.035490	0.144181	-0.089459	0.928677
NK cells	7.768201	-0.529512	-1.697564	4.361029	-4.175754	-7.387695	-1.182936	8.518884	5.093523	1.089717	1.548314	-0.349183	3.740912	-1.505199	-1.512555	-0.823501	0.240332	0.786494	-0.969556	-0.827258	-3.841721	-1.207168	-2.130871	0.833998	1.718299	-0.166538	0.140170	0.963519	-3.431161	2.176425	0.466994	-0.955330	1.482013	2.007054	-0.849294	-0.822801	-0.699034	-0.671445	-0.584761	0.451389	0.369308	-0.212644	0.029999	1.495399	0.245911	-1.407135	1.293539	0.326334	1.752881	-1.083221
B cells	11.194237	-1.120709	1.580582	1.357684	-1.250442	-4.123360	0.673728	1.951352	0.441466	-1.053059	1.971323	-1.465222	2.774130	2.398768	0.012712	2.128212	0.380707	0.522915	-0.784101	0.893504	-0.276091	1.288326	-0.295978	-1.582885	0.690998	0.986170	-0.609271	-1.122355	-1.264339	-0.351429	3.426141	1.845393	-0.866268	2.352664	1.965158	-0.871587	1.059088	2.902027	-1.433906	1.388544	-0.532753	-2.008198	0.399613	1.019156	0.581108	-1.268950	2.133083	0.506368	0.675142	-0.300598
CD4 T	-3.135551	-1.836139	1.437153	-2.938075	-0.076353	-0.748502	0.173391	-0.901514	-0.446690	-1.918381	0.010990	0.148945	1.949916	-0.307501	-0.281126	0.027567	-1.588816	0.030336	-1.414560	0.311860	-0.123018	0.759770	1.700555	-0.736470	1.631683	0.403567	1.847164	-1.320856	-0.534849	0.579085	0.872244	-1.589977	-0.484250	1.035321	-0.092155	-0.754734	0.660966	-1.388934	0.520134	-0.589818	-1.276274	-1.622046	1.508723	0.839770	0.693705	1.298905	-0.226954	-0.900022	0.634194	0.216589
B cells	3.135561	-3.197375	0.004725	-4.290564	7.541182	0.004580	-0.501540	-0.208248	-0.029282	-0.700234	-0.794933	-1.241286	0.457838	0.510086	1.344699	0.115304	-1.590083	1.859845	0.603622	-0.215837	0.738075	-0.565356	0.030933	3.055238	-1.326740	1.413507	-1.061361	0.538747	1.708321	0.685762	1.073160	0.353889	1.114127	-1.272363	0.955230	-0.196407	-1.051945	-1.288975	-1.099179	1.468134	-0.231233	0.455072	0.884979	-2.399723	-0.744428	-1.800817	-0.752137	0.052394	1.363939	-2.741560
CD14 Monocytes	-1.335835	-8.537617	-1.968368	7.460379	1.091594	-0.917613	-0.646493	-0.355557	-0.071544	1.174941	-0.693283	1.001896	-0.048812	-2.034358	-0.166939	-1.846727	0.850016	-0.008698	-1.530282	0.190738	-0.358644	0.895562	0.901010	0.384708	0.172363	-0.221810	-0.600388	-1.990626	-0.746580	0.512214	-0.339517	-1.341047	1.823463	-1.870964	-0.970022	-1.855371	1.510633	-0.070187	0.333128	1.206396	1.825254	0.881771	0.534814	1.121683	1.033344	-0.855546	-2.511582	-2.650082	0.559424	0.495265
CD4 T	-3.149905	0.205476	-1.116225	-1.284438	-3.077613	-0.341843	-0.044873	0.055181	-1.926181	-1.696817	-3.724424	0.804269	1.998302	-0.406484	-1.061954	-4.677411	-0.758136	-1.503321	-1.092044	1.664881	2.332275	6.600371	-0.356262	0.300234	-3.093050	-0.548852	3.152083	-2.315821	-1.290858	-1.756748	-0.829605	0.893878	0.115539	-0.834461	1.080256	-0.014112	-1.194544	-5.294449	2.387088	2.476468	-0.197497	2.118737	-2.994584	2.371435	3.701199	-2.353812	0.693225	-0.937487	2.053285	-0.373607
B cells	14.746116	1.164338	-1.688546	0.313894	-1.077065	-0.430979	1.655377	-1.828319	1.187699	-0.033672	-2.065390	3.166273	-1.149503	3.520924	1.765433	0.865447	0.269369	-0.717371	1.196224	1.318936	0.589534	2.294229	1.268354	-1.301423	-1.472127	-0.192844	-1.259759	2.155914	0.156991	-0.056731	-1.711944	1.575896	-2.054702	-2.850326	0.931692	0.983222	-1.251347	-3.336782	-0.189713	-2.513510	1.656749	-2.910113	1.898675	-0.566127	-0.089713	2.965487	2.689065	3.930742	-1.519842	-1.013167
CD4 T	-3.912138	-1.455049	0.582294	-2.323318	1.085918	0.852730	-2.589347	-0.134435	0.052524	-1.074334	2.573478	-0.133395	-0.117728	-1.440739	-2.261551	0.403392	-0.351290	0.786681	1.060718	2.355376	-0.256027	-1.268684	0.882237	-0.340798	-1.995627	2.185276	-1.415167	-0.256735	-0.236490	0.267998	0.008595	2.990375	0.551479	-1.491256	-0.834366	-1.544266	-1.109311	-0.367916	1.942924	0.499816	-0.435368	0.723547	-0.346595	0.993865	-0.492703	-1.285137	-1.070322	-0.719705	1.704231	1.250875
B cells	13.854315	2.334390	-2.235799	3.162753	-4.618986	2.171540	1.769811	2.426292	2.101586	1.756635	0.996718	1.286840	-1.324888	-2.870243	-1.612411	2.932927	0.512852	-4.002921	-1.933916	1.291435	-2.842887	-1.812798	1.778769	0.546054	1.324585	0.485059	0.161497	-1.528055	1.420867	-1.467515	-2.629853	2.272462	0.377482	0.069631	-2.192101	1.024290	-0.365394	-1.131333	-1.181169	-0.058067	-4.213749	1.445267	0.341202	2.549779	-3.116945	0.631980	0.295249	3.137622	1.171289	-0.168065
B cells	8.903886	0.441904	0.342947	1.686182	-2.632715	3.396262	-0.077804	0.493743	-0.446080	-1.590612	1.350726	0.257710	1.243815	0.659385	-0.775889	0.455998	2.298157	0.575689	-0.279674	-0.088694	0.880870	1.080679	1.848285	-0.703643	1.479327	-0.610280	0.490306	-0.224591	-0.296623	0.669222	-0.958333	-0.628305	-1.515680	-0.191022	-1.555970	0.045822	2.030983	-2.368422	2.088125	-1.502008	-1.816545	0.749564	-0.771624	-0.934760	-0.264796	1.008866	-0.963997	-2.740414	-1.734755	-0.534598
CD8 T	-4.208683	-0.935022	0.312874	-2.297737	4.697602	2.896841	1.801450	3.200907	1.358564	1.773718	0.988866	-1.283695	-0.651251	0.193096	-0.899866	-1.629891	-0.176552	0.996724	-0.812771	0.409405	0.659517	-0.820956	1.917032	1.654440	-1.190796	-0.714331	-0.871516	0.139539	-0.088111	-0.869528	-0.550127	-0.804574	-0.340913	0.923533	-1.107201	-2.355859	-0.500096	-0.270743	0.535296	-0.074727	0.362485	-0.885493	0.012144	-1.540703	-1.045565	-1.191050	0.389967	3.868208	0.251139	0.925221
CD8 T	-3.683481	11.952192	0.201801	5.546772	5.065485	1.179235	-5.151054	-1.810721	1.004482	3.205937	-5.460760	-3.441568	-1.295188	-1.306935	-3.644760	-2.237373	-0.317797	0.134917	1.611652	0.039802	0.048640	-4.118757	2.844103	-2.149527	-2.926712	2.812674	-2.201145	0.929750	0.384221	-0.821206	-0.646420	2.695033	1.048776	-2.251637	-5.315737	-1.573073	0.363759	3.047637	1.525105	1.222749	1.923088	4.720201	-1.942704	-1.106686	3.049627	-0.919582	0.358074	-3.747037	3.492552	-0.570976
CD4 T	-4.355441	3.708107	-0.258431	-1.354315	-4.985548	-2.986876	2.272368	-3.658843	0.352223	-0.773000	-1.770186	0.441495	0.627012	1.035840	0.661196	-0.410831	-1.861611	-1.074443	-0.192721	0.327409	0.121634	-2.353948	0.233336	0.247919	0.897501	-0.617462	1.053313	-2.342568	-0.267071	0.998508	-1.177930	1.211875	-1.262869	3.167441	-0.663812	-2.059600	-0.399596	1.807532	0.744823	-4.248549	-1.494187	-0.147417	3.042360	1.762664	1.177673	3.175846	2.994900	-4.448987	-0.991582	-1.554110
CD4 T	-2.972102	-0.560464	0.105980	-2.856662	-0.734746	1.877704	-0.931162	-0.508819	0.423130	3.674419	1.185885	1.430310	0.772931	2.820004	2.020687	-0.079644	-0.271210	3.042895	2.466090	0.676546	-0.297324	1.720504	1.552449	0.913775	1.206252	0.948172	-0.957103	-1.540413	-0.429242	1.240742	1.811273	-1.021632	1.206524	0.903751	1.390794	0.198810	0.108621	-0.440012	-2.787873	-0.304569	-0.393903	-0.361002	0.579247	-1.672258	3.061421	0.871228	0.958140	0.225351	0.347744	-0.626960
CD4 T	-2.799548	0.717511	1.215259	-1.321595	-2.295654	1.318275	0.366250	0.018298	-2.221191	1.345331	-0.149130	0.763885	1.480803	-1.216313	1.813394	0.632214	-0.426553	0.380204	1.532625	0.194531	2.467523	1.278122	-2.991375	0.245223	0.109125	-1.479741	-0.908391	-0.239029	1.016297	-0.844207	1.564314	-0.040710	-0.277145	0.732831	0.064770	1.116253	-0.316809	-1.277189	1.684006	0.396828	0.010462	0.271469	2.356173	-2.058079	-3.415416	0.941807	-1.479933	2.566829	-0.613084	0.169140
CD4 T	-3.516543	-1.105245	-0.314441	-3.223610	-0.970554	-0.333647	-0.778380	-0.390906	-0.400024	0.104556	-0.402832	1.111096	0.333097	1.439937	-1.456752	-0.175757	-3.113121	1.192103	-0.382967	-1.586874	-3.201012	-2.782450	-2.846578	-0.936595	-2.372366	1.011248	-1.025090	1.368277	-2.767763	0.542716	1.468696	-2.109976	0.085217	0.354547	0.146056	2.293103	0.201052	-1.461258	1.073988	0.633203	0.113270	1.226476	0.695714	-0.860990	0.242791	-3.021197	1.557204	-0.077067	0.325569	-0.160081
B cells	10.042579	2.054265	-1.058419	1.329767	-4.237805	4.764393	0.423850	0.925198	1.467524	-4.262464	-0.910291	2.095102	-0.460789	0.170928	2.632459	-1.382263	0.049095	1.582021	-1.275555	-1.287633	-1.824294	1.445661	-2.460726	-0.656511	0.288947	-2.412940	-0.051382	-0.189157	-0.736965	-1.314866	1.399636	0.991730	-1.657966	0.532629	-1.094399	-0.922981	-1.435739	-0.479918	1.866352	0.733854	2.146842	-3.699984	1.040784	-0.342974	1.625273	1.069724	0.065861	-1.031208	-0.367789	-0.956655
B cells	12.827761	0.510396	-0.259501	-1.499882	2.426054	-4.437702	-1.392830	-0.040424	-1.887633	-0.520955	-0.755644	0.789100	0.286993	-0.832812	0.602267	-0.313236	0.116837	-4.737897	3.341443	-1.910362	2.100672	-0.405617	-0.953005	-5.155357	1.145674	-2.455094	-0.581045	0.905102	3.102821	-2.573136	1.377484	1.697309	-2.334136	-0.851503	-1.046822	-1.115322	0.732647	1.367602	2.200857	1.039752	0.694866	3.825727	-0.632121	-1.656441	2.999946	0.740426	-2.550443	0.218849	1.245597	-1.933546
CD4 T	-4.561567	-1.210960	0.235290	-3.809565	0.056676	0.693568	-0.987140	2.632500	-0.583406	0.133130	0.492213	-1.819250	-2.022146	-0.889344	-0.595161	0.045856	0.136228	2.777800	0.849993	0.280918	-1.042908	0.792216	-0.280889	1.190725	-0.268609	-1.029361	0.803300	-1.191945	-1.127640	0.481026	0.449929	0.029740	2.183173	2.104833	1.800564	-0.126568	2.593816	1.552424	0.814683	-0.415425	1.403154	2.740411	-2.976031	0.268539	0.774748	-2.918852	-0.037752	1.649378	0.496170	-0.959150
